"Account Name","Voucher No","Voucher Date","Bill Amount","Supplier Ref","Due Date","Maker Remark","Checker Status","Checker Remark","Product Name","Serial No","HSN/SAC","Purchase Rate","Quantity","Discount %","Margin %","Item Amount"
"Local Purchase","473","25-05-2026 19:41:00","1","Excess Items","2026-05-25","","Pending","","Alpenliebe Stick 28G","16600.0015","25","0.001","24","","99.99","0.024"
"","","","","","","","","","Bowl 07","16600.0015","74","0.001","7","","100","0.007"
"","","","","","","","","","Denver Body Spray 50 Ml Pride","16600.0015","380","0.001","6","","100","0.006"
"","","","","","","","","","Godrej Shampoo Hair Colour 10 Ml Black","16600.0015","610","0.001","29","","99.99","0.029"
"","","","","","","","","","Hershey Syrup 30 Gm","16600.0015","567","0.001","60","","99.99","0.06"
"","","","","","","","","","Lunch Box 1","16600.0015","201","0.001","1","","100","0.001"
"","","","","","","","","","Nestle Every Day 400 Gm","16600.0015","862","0.001","32","","100","0.032"
"","","","","","","","","","Sapphire Butter Toffee 550Gm","16600.0015","25","0.001","40","","100","0.04"
"","","","","","","","","","Snickers 40Gm","16600.0015","175","0.001","24","","100","0.024"
"","","","","","","","","","Spinz Deo Enchante 200 Ml","16600.0015","380","0.001","1","","100","0.001"
"","","","","","","","","","Steel Lunch Box","16600.0015","181","0.001","6","","100","0.006"
"","","","","","","","","","Sunil Cashew 250 Gm","16600.0015","1085","0.001","2","","100","0.002"
"","","","","","","","","","Tata Tea Gold 19 Gm","16600.0015","1075","0.001","19","","99.99","0.019"
"Hygienic Milk","466","24-05-2026 17:06:00","625",".1836","2026-05-24","undefined","Pending","","Lmk Bc Vn 1/2 Kg","16593.0015","476","125","1","","37.5","125"
"","","","","","","","","","Lmk Pts","16593.0015","476","5","100","","44.44","500"
"Hygienic Milk","465","24-05-2026 17:04:00","500","1835","2026-05-24","","Pending","","Lmk Bc Ch 1/2","16592.0015","476","125","2","","37.5","250"
"","","","","","","","","","Lmk Bc Vn 1/2 Kg","16592.0015","476","125","2","","37.5","250"
"Hygienic Milk","464","24-05-2026 16:39:00","200","1840","2026-05-24","","Pending","","Besan Burfi","16591.0015","203","200","1","","20","200"
"Hygienic Milk","461","24-05-2026 11:24:00","600",".1839","2026-05-24","","Pending","","Besan Burfi","16588.0015","203","200","3","","20","600"
"Hygienic Milk","460","24-05-2026 11:23:00","125",".1838","2026-05-24","","Pending","","Lmk Bc Vn 1/2 Kg","16587.0015","476","125","1","","37.5","125"
"Beauty Toys","459","24-05-2026 10:47:00","26691","3734","2026-05-24","","Pending","","Bt Toy 01","16586.0015","1023","510","4","","40","2040"
"","","","","","","","","","Bt Toy 01","16586.0015","1023","370","6","","38.23","2220"
"","","","","","","","","","Bt Toy 01","16586.0015","1023","110","12","","38.89","1320"
"","","","","","","","","","Bt Toy 01","16586.0015","1023","250","3","","37.34","750"
"","","","","","","","","","Bt Toy 01","16586.0015","1023","250","2","","37.34","500"
"","","","","","","","","","Bt Toy 01","16586.0015","1023","120","3","","39.7","360"
"","","","","","","","","","Bt Toy 01","16586.0015","1023","140","3","","36.36","420"
"","","","","","","","","","Bt Toy 01","16586.0015","1023","290","2","","38.3","580"
"","","","","","","","","","Bt Toy 01","16586.0015","1023","150","3","","40","450"
"","","","","","","","","","Bt Toy 01","16586.0015","1023","200","3","","37.5","600"
"","","","","","","","","","Bt Toy 01","16586.0015","1023","300","2","","39.88","600"
"","","","","","","","","","Bt Toy 01","16586.0015","1023","135","3","","38.64","405"
"","","","","","","","","","Bt Toy 01","16586.0015","1023","230","3","","37.84","690"
"","","","","","","","","","Bt Toy 01","16586.0015","1023","360","2","","39.9","720"
"","","","","","","","","","Bt Toy 01","16586.0015","1023","63.33","12","","36.03","759.96"
"","","","","","","","","","Bt Toy 01","16586.0015","1023","210","3","","37.31","630"
"","","","","","","","","","Bt Toy 01","16586.0015","1023","260","2","","37.35","520"
"","","","","","","","","","Bt Toy 01","16586.0015","1023","290","2","","38.3","580"
"","","","","","","","","","Bt Toy 01","16586.0015","1023","260","3","","37.35","780"
"","","","","","","","","","Bt Toy 01","16586.0015","1023","250","3","","37.34","750"
"","","","","","","","","","Bt Toy 01","16586.0015","1023","180","3","","39.8","540"
"","","","","","","","","","Bt Toy 01","16586.0015","1023","250","2","","37.34","500"
"","","","","","","","","","Bt Toy 01","16586.0015","1023","220","2","","37.14","440"
"","","","","","","","","","Bt Toy 01","16586.0015","1023","250","2","","37.34","500"
"","","","","","","","","","Bt Toy 01","16586.0015","1023","290","4","","38.3","1160"
"","","","","","","","","","Bt Toy 01","16586.0015","1023","170","3","","37.04","510"
"","","","","","","","","","Bt Toy 01","16586.0015","1023","220","2","","37.14","440"
"","","","","","","","","","Bt Toy 01","16586.0015","1023","90","2","","40","180"
"","","","","","","","","","Bt Toy 01","16586.0015","1023","220","3","","37.14","660"
"","","","","","","","","","Bt Toy 01","16586.0015","1023","320","3","","37.25","960"
"","","","","","","","","","Bt Toy 01","16586.0015","1023","170","4","","37.04","680"
"","","","","","","","","","Bt Toy 01","16586.0015","1023","230","4","","37.84","920"
"","","","","","","","","","Bt Toy 01","16586.0015","1023","211.667","3","","39.52","635.001"
"","","","","","","","","","Bt Toy 01","16586.0015","1023","230","3","","37.84","690"
"","","","","","","","","","Bt Toy 01","16586.0015","1023","310","3","","37.88","930"
"","","","","","","","","","Bt Toy 01","16586.0015","1023","0.001","3","","100","0.003"
"Hygienic Milk","458","24-05-2026 10:29:00","2750","1629","2026-05-24","","Pending","","Loose Milk","16585.0015","476","55","50","","8.33","2750"
"Hygienic Milk","457","23-05-2026 20:28:00","100","1837","2026-05-23","","Pending","","Besan Burfi","16584.0015","203","200","0.5","","20","100"
"Hygienic Milk","456","23-05-2026 19:19:00","300",".1833","2026-05-23","","Pending","","Besan Burfi","16583.0015","203","200","1.5","","20","300"
"Bhushan Bag House","455","23-05-2026 18:53:00","37470","Bbh/26-27/164","2026-05-23","","Pending","","Bb Sling Bag","16582.0015","80","80","6","","40.74","480"
"","","","","","","","","","Bb Sling Bag","16582.0015","80","220","6","","39.73","1320"
"","","","","","","","","","Bb Sling Bag","16582.0015","80","80","6","","40.74","480"
"","","","","","","","","","Bb Sling Bag","16582.0015","80","105","6","","40","630"
"","","","","","","","","","Bhushan Jute Bag 48","16582.0015","80","90","6","","40","540"
"","","","","","","","","","Bhushan Jute Bag 48","16582.0015","80","83","12","","40.71","996"
"","","","","","","","","","Bhushan Jute Bag 48","16582.0015","80","118","6","","40.7","708"
"","","","","","","","","","Bhushan Jute Bag 48","16582.0015","80","127","10","","39.52","1270"
"","","","","","","","","","Bhushan Jute Bag 48","16582.0015","80","32","25","","41.82","800"
"","","","","","","","","","Bhushan Jute Bag 48","16582.0015","80","103","10","","39.41","1030"
"","","","","","","","","","Bhushan Jute Bag 48","16582.0015","80","108","10","","40","1080"
"","","","","","","","","","Bhushan Jute Bag 48","16582.0015","80","98","10","","40.61","980"
"","","","","","","","","","Bhushan Jute Bag 48","16582.0015","80","68","10","","40.87","680"
"","","","","","","","","","Bhushan Jute Bag 48","16582.0015","80","138","10","","40","1380"
"","","","","","","","","","Bhushan Jute Bag 48","16582.0015","80","121","10","","39.2","1210"
"","","","","","","","","","Bhushan Kit Bag 16","16582.0015","80","60","6","","39.39","360"
"","","","","","","","","","Bhushan Kit Bag 16","16582.0015","80","53","6","","41.11","318"
"","","","","","","","","","Bhushan Kit Bag 16","16582.0015","80","75","6","","40","450"
"","","","","","","","","","Bhushan Kit Bag 16","16582.0015","80","26","6","","42.22","156"
"","","","","","","","","","Bhushan Kit Bag 16","16582.0015","80","29","6","","42","174"
"","","","","","","","","","Bhushan Pitthoo Bag 7","16582.0015","80","290","3","","39.58","870"
"","","","","","","","","","Bhushan Pitthoo Bag 7","16582.0015","80","220","3","","37.14","660"
"","","","","","","","","","Bhushan Pitthoo Bag 7","16582.0015","80","385","3","","39.37","1155"
"","","","","","","","","","Bhushan Travel Bag 01","16582.0015","80","235","3","","41.1","705"
"","","","","","","","","","Bhushan Travel Bag 01","16582.0015","80","275","3","","38.89","825"
"","","","","","","","","","Bhushan Travel Bag 01","16582.0015","80","390","3","","40","1170"
"","","","","","","","","","Bhushan Travel Bag 01","16582.0015","80","360","3","","39.9","1080"
"","","","","","","","","","Bhushan Travel Bag 01","16582.0015","80","450","3","","40","1350"
"","","","","","","","","","Bhushan Travel Bag 01","16582.0015","80","380","3","","39.68","1140"
"","","","","","","","","","Bhushan Travel Bag 01","16582.0015","80","480","3","","39.92","1440"
"","","","","","","","","","Bhushan Travel Bag 01","16582.0015","80","170","6","","39.29","1020"
"","","","","","","","","","Bhushan Travel Bag 01","16582.0015","80","395","3","","39.23","1185"
"","","","","","","","","","Bhushan Trolley Bag","16582.0015","80","837.5","1","","40.14","837.5"
"","","","","","","","","","Bhushan Trolley Bag","16582.0015","80","1105.5","1","","38.47","1105.5"
"","","","","","","","","","Bhushan Trolley Bag","16582.0015","80","1407","1","","36.02","1407"
"","","","","","","","","","Bhushan Trolley Bag","16582.0015","80","1230","1","","38.47","1230"
"","","","","","","","","","Bhushan Trolley Bag","16582.0015","80","820","1","","41.39","820"
"Hygienic Milk","454","23-05-2026 18:03:00","45000","1832","2026-05-23","","Pending","","Loose Desi Ghee","16581.0015","154","900","50","","10","45000"
"Hygienic Milk","453","23-05-2026 18:02:00","650","1831","2026-05-23","","Pending","","Gj Gulab Jamun","16580.0015","476","250","1.5","","16.67","375"
"","","","","","","","","","Khoya Burfi","16580.0015","476","550","0.5","","8.33","275"
"Hygienic Milk","452","23-05-2026 18:01:00","625","1830","2026-05-23","","Pending","","Lmk Bc Vn 1/2 Kg","16579.0015","476","125","1","","37.5","125"
"","","","","","","","","","Lmk Pts","16579.0015","476","5","100","","44.44","500"
"Hygienic Milk","451","23-05-2026 17:59:00","2200",".1860","2026-05-23","","Pending","","Loose Milk","16578.0015","476","55","40","","8.33","2200"
"Hygienic Milk","450","23-05-2026 17:57:00","2200","1628","2026-05-23","","Pending","","Loose Milk","16577.0015","476","55","40","","8.33","2200"
"Hygienic Milk","449","23-05-2026 17:56:00","1375","1627","2026-05-23","","Pending","","Loose Milk","16576.0015","476","55","25","","8.33","1375"
"Leela Associates","448","23-05-2026 17:42:00","4159","26-27/Buc-12601","2026-05-23","","Pending","","Amul Masti Dahi 200 Gm","16575.0015","993","21.74","70","","13.04","1521.8"
"","","","","","","","","","Amul Masti Dahi 400Gm","16575.0015","993","43.56","56","","12.88","2439.36"
"M/S Shashi Bhushan Manoj Kumar Aeron","447","23-05-2026 17:31:00","19464","1550","2026-05-23","","Pending","","Capsicum","16574.0015","1029","15","15","","11.76","225"
"","","","","","","","","","Carrot","16574.0015","1029","22","5","","12","110"
"","","","","","","","","","Hara Dhania","16574.0015","1029","30","3","","14.29","90"
"","","","","","","","","","Mango","16574.0015","994","78","31.5","","13.33","2457"
"","","","","","","","","","Onion","16574.0015","1029","18","70.5","","14.29","1269"
"","","","","","","","","","Packing Plastic Film","16574.0015","923","27.769","130","","7.44","3609.97"
"","","","","","","","","","Pizza Cheese 1Kg","16574.0015","815","472","24","","21.33","11328"
"","","","","","","","","","Veg Sweet Corn","16574.0015","994","75","5","","11.76","375"
"M/S Shashi Bhushan Manoj Kumar Aeron","446","23-05-2026 17:03:00","54546","1551-1552-1553-1554","2026-05-23","","Pending","","Apple","16573.0015","994","167.8","10","","11.68","1678"
"","","","","","","","","","Apple Improted","16573.0015","994","238.056","18","","11.83","4285.008"
"","","","","","","","","","Arbi","16573.0015","1029","39.6","5","","12","198"
"","","","","","","","","","Banana Kg","16573.0015","1029","40.645","77.5","","11.64","3149.9875"
"","","","","","","","","","Bitter Gourd","16573.0015","1029","17.586","14.5","","12.07","254.997"
"","","","","","","","","","Brinjal","16573.0015","1029","30.8","5","","12","154"
"","","","","","","","","","Brinjal Long","16573.0015","1029","30.8","5","","12","154"
"","","","","","","","","","Cabbage","16573.0015","1029","10.476","10.5","","12.7","109.998"
"","","","","","","","","","Capsicum","16573.0015","1029","17.5","10","","12.5","175"
"","","","","","","","","","Carrot","16573.0015","1029","22","5","","12","110"
"","","","","","","","","","Cholai Saag","16573.0015","1029","13.2","10","","12","132"
"","","","","","","","","","Chukander","16573.0015","1029","35","10","","12.5","350"
"","","","","","","","","","Contola","16573.0015","1029","88.333","3","","11.67","264.999"
"","","","","","","","","","Cucumber","16573.0015","1029","22","20","","12","440"
"","","","","","","","","","Daab Coconut","16573.0015","1029","70.5","20","","11.88","1410"
"","","","","","","","","","Ginger","16573.0015","1029","168","5","","11.58","840"
