"Himanshu Footwear","445","2026-05-23","₹19189","Hf/77/2026-27","2026-05-04","2026-05-23","No File","Approved","Paid","-"
"Raja Fashion","441","2026-05-23","₹30544","1023","2026-05-03","2026-05-23","No File","Approved","Paid","-"
"Raja Fashion","429","2026-05-22","₹5717","1025","2026-05-15","2026-05-22","No File","Approved","Paid","-"
"P.R International","428","2026-05-22","₹30156","Pri/25-26/070","2026-05-16","2026-05-22","No File","Approved","Paid","-"
"Rachna Enterprises","383","2026-05-17","₹11185","D302260","2026-05-16","2026-05-17","View","Approved","Paid","-"
"Tools & Spares","376","2026-05-16","₹6708","481","2026-05-06","2026-05-16","View","Approved","Paid","-"
"Tools & Spares","375","2026-05-16","₹16213","480","2026-05-03","2026-05-16","View","Approved","Paid","-"
"Sita Ram Chaman Lal","368","2026-05-15","₹30000","11396","2026-05-05","2026-05-15","View","Approved","Paid","-"
"M/S Vikas Fancy Store","356","2026-05-14","₹17014","2026-2027-044","2026-05-05","2026-05-14","View","Approved","Paid","-"
"Om Shanti Trading Co.","355","2026-05-14","₹18532","56","2026-05-04","2026-05-14","View","Approved","Paid","-"
"Sita Ram Chaman Lal","332","2026-05-12","₹11235","11395","2026-05-05","2026-05-12","View","Approved","Paid","-"
"Sita Ram Chaman Lal","331","2026-05-12","₹31565","11394","2026-05-05","2026-05-12","View","Approved","Paid","-"
"Sita Ram Chaman Lal","330","2026-05-12","₹38468","11393","2026-05-05","2026-05-12","View","Approved","Paid","-"
"Bag Bazar Online","328","2026-05-12","₹26692","Bbo/26-27/38","2026-05-05","2026-05-12","View","Approved","Paid","-"
"M/S Amrik Brothers","323","2026-05-12","₹20192","Gst/0127/26-27","2026-05-05","2026-05-12","View","Approved","Paid","-"
"Desenc Bag House","321","2026-05-11","₹35642","Dbh-42/2026-27","2026-05-04","2026-05-11","View","Approved","Paid","-"
"Kirpal Plastic","317","2026-05-11","₹16490","0066/2026-27","2026-05-04","2026-05-11","View","Approved","Paid","-"
"Excel Pooja","310","2026-05-11","₹49520","7411","2026-05-06","2026-05-11","View","Approved","Paid","-"
"Excel Pooja","308","2026-05-10","₹90937","7410","2026-05-06","2026-05-10","View","Approved","Paid","-"
"Excel Pooja","307","2026-05-10","₹44838","7412","2026-05-06","2026-05-10","View","Approved","Paid","-"
"Harminder Singh & Bros","302","2026-05-10","₹27911","9841","2026-05-04","2026-05-10","View","Approved","Paid","-"
"Mutreja Watch Co","301","2026-05-10","₹7676","2521","2026-05-07","2026-05-10","View","Approved","Paid","-"
"Harminder Singh & Bros","300","2026-05-10","₹9000","9844","2026-05-05","2026-05-10","View","Approved","Paid","-"
"Harminder Singh & Bros","299","2026-05-10","₹22100","9843","2026-05-05","2026-05-10","View","Approved","Paid","-"
"Jasbir Singh & Sons","297","2026-05-10","₹3780","7116","2026-05-06","2026-05-10","View","Approved","Paid","bill not showing"
"Harminder Singh & Bros","296","2026-05-10","₹6100","9846","2026-05-05","2026-05-10","View","Approved","Paid","-"
"Dashmesh Garments","294","2026-05-10","₹46799","13047","2026-05-03","2026-05-10","View","Approved","Paid","-"
